isin,name,asset_class,ter,currency,use_of_profit,url
CH1315732268,Xtrackers Galaxy Physical Ethereum ETC Securities,Cryptomonnaie,"0,25",USD,--,https://etf.dws.com/fr-fr/etc/CH1315732268-xtrackers-galaxy-physical-ethereum-etc-securities/
IE000FL46JJ1,Xtrackers S&P 500 Equal Weight Swap UCITS ETF 1D,Actions,"0,12",USD,Distribution,https://etf.dws.com/fr-fr/IE000FL46JJ1-s-p-500-equal-weight-swap-ucits-etf-1d/
IE000FO1A5D1,Xtrackers S&P 500 Equal Weight Swap UCITS ETF 1C,Actions,"0,12",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000FO1A5D1-s-p-500-equal-weight-swap-ucits-etf-1c/
IE00036F4K40,Xtrackers MSCI Global SDG 3 Good Health UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00036F4K40-msci-global-sdg-3-good-health-ucits-etf-1c/
IE000X1GW0A7,Xtrackers MSCI World IMI UCITS ETF 1C,Actions,"0,15",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000X1GW0A7-msci-world-imi-ucits-etf-1c/
IE00BQXKVQ19,Xtrackers MSCI GCC Select Swap UCITS ETF 1C,Actions,"0,65",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BQXKVQ19-msci-gcc-select-swap-ucits-etf-1c/
IE000P4AYI47,Xtrackers MSCI World Climate Transition UCITS ETF 1C,Actions,"0,19",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000P4AYI47-msci-world-climate-transition-ucits-etf-1c/
IE000VCBWFL8,Xtrackers MSCI EMU High Dividend Yield ESG UCITS ETF 1D,Actions,"0,25",EUR,Distribution,https://etf.dws.com/fr-fr/IE000VCBWFL8-msci-emu-high-dividend-yield-esg-ucits-etf-1d/
LU1094612022,Xtrackers II Harvest China Government Bond UCITS ETF 1D,Obligations,"0,20",USD,Distribution,https://etf.dws.com/fr-fr/LU1094612022-harvest-china-government-bond-ucits-etf-1d/
LU2641054122,Xtrackers II Eurozone Government Bond 0-1 UCITS ETF 1C,Obligations,"0,07",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU2641054122-eurozone-government-bond-0-1-ucits-etf-1c/
LU0321462870,Xtrackers II iTraxx Crossover Short Daily Swap UCITS ETF 1C,Obligations,"0,24",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0321462870-itraxx-crossover-short-daily-swap-ucits-etf-1c/
IE000W6L2AI3,Xtrackers MSCI EMU Climate Transition UCITS ETF 1C,Actions,"0,12",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000W6L2AI3-msci-emu-climate-transition-ucits-etf-1c/
IE00064N5UY4,Xtrackers Eurozone Government Bond 1-10 UCITS ETF 1C,Obligations,"0,09",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00064N5UY4-eurozone-government-bond-1-10-ucits-etf-1c/
IE000E0V65D8,Xtrackers World Biodiversity Focus SRI UCITS ETF 1C,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000E0V65D8-world-biodiversity-focus-sri-ucits-etf-1c/
IE000N9MLVT1,Xtrackers MSCI Europe Climate Transition UCITS ETF 1C,Actions,"0,12",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000N9MLVT1-msci-europe-climate-transition-ucits-etf-1c/
LU2158769930,Xtrackers II J.P. Morgan EM Local Government Bond UCITS ETF 1D,Obligations,"0,25",USD,Distribution,https://etf.dws.com/fr-fr/LU2158769930-j-p-morgan-em-local-government-bond-ucits-etf-1d/
LU3119430570,Xtrackers II Eurozone Government Bond 10+ ESG Tilted UCITS ETF 1C,Obligations,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3119430570-eurozone-government-bond-10-esg-tilted-ucits-etf-1c/
LU2859392081,Xtrackers World Green Tech Innovators UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/LU2859392081-world-green-tech-innovators-ucits-etf-1c/
LU0468897110,Xtrackers II Germany Government Bond 1-3 UCITS ETF 1D,Obligations,"0,15",EUR,Distribution,https://etf.dws.com/fr-fr/LU0468897110-germany-government-bond-1-3-ucits-etf-1d/
LU2809864452,Xtrackers II Target Maturity Sept 2032 EUR Corporate Bond UCITS ETF 1D,Obligations,"0,12",EUR,Distribution,https://etf.dws.com/fr-fr/LU2809864452-target-maturity-sept-2032-eur-corporate-bond-ucits-etf-1d/
LU0292104030,Xtrackers MSCI Europe Communication Services UCITS ETF 1C,Actions,"0,17",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0292104030-msci-europe-communication-services-ucits-etf-1c/
IE000TZT8TI0,Xtrackers Emerging Markets Net Zero Pathway Paris Aligned UCITS ETF 1C,Actions,"0,20",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000TZT8TI0-emerging-markets-net-zero-pathway-paris-aligned-ucits-etf-1c/
LU2504532131,Xtrackers II TIPS US Inflation-Linked Bond UCITS ETF 1C,Obligations,"0,07",USD,Capitalisation,https://etf.dws.com/fr-fr/LU2504532131-tips-us-inflation-linked-bond-ucits-etf-1c/
LU2385068163,Xtrackers II ESG Global Government Bond UCITS ETF 1D,Obligations,"0,20",EUR,Distribution,https://etf.dws.com/fr-fr/LU2385068163-esg-global-government-bond-ucits-etf-1d/
LU2462217071,Xtrackers II ESG Global Government Bond UCITS ETF 1C,Obligations,"0,20",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU2462217071-esg-global-government-bond-ucits-etf-1c/
LU2385068593,Xtrackers II ESG Global Government Bond UCITS ETF 4D EUR Hedged,Obligations,"0,25",EUR,Distribution,https://etf.dws.com/fr-fr/LU2385068593-esg-global-government-bond-ucits-etf-4d-eur-hedged/
LU2385068320,Xtrackers II ESG Global Government Bond UCITS ETF 3D USD Hedged,Obligations,"0,25",USD,Distribution,https://etf.dws.com/fr-fr/LU2385068320-esg-global-government-bond-ucits-etf-3d-usd-hedged/
LU2385068247,Xtrackers II ESG Global Government Bond UCITS ETF 2D GBP Hedged,Obligations,"0,25",GBP,Distribution,https://etf.dws.com/fr-fr/LU2385068247-esg-global-government-bond-ucits-etf-2d-gbp-hedged/
IE00BDGN9Z19,Xtrackers MSCI EMU Screened UCITS ETF 1D,Actions,"0,12",EUR,Distribution,https://etf.dws.com/fr-fr/IE00BDGN9Z19-msci-emu-screened-ucits-etf-1d/
LU1310477036,Xtrackers Harvest CSI A500 UCITS ETF 1D,Actions,"0,65",USD,Distribution,https://etf.dws.com/fr-fr/LU1310477036-harvest-csi-a500-ucits-etf-1d/
IE00BN2BCY94,Xtrackers Developed Green Real Estate ESG UCITS ETF 1C,Actions,"0,18",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BN2BCY94-developed-green-real-estate-esg-ucits-etf-1c/
LU3152892546,Xtrackers II Target Maturity Sept 2035 EUR Corporate Bond UCITS ETF 1D,Obligations,"0,12",EUR,Distribution,https://etf.dws.com/fr-fr/LU3152892546-target-maturity-sept-2035-eur-corporate-bond-ucits-etf-1d/
IE0002ZM3JI1,Xtrackers USA Net Zero Pathway Paris Aligned UCITS ETF 1C,Actions,"0,10",USD,Capitalisation,https://etf.dws.com/fr-fr/IE0002ZM3JI1-usa-net-zero-pathway-paris-aligned-ucits-etf-1c/
LU2809864619,Xtrackers II Target Maturity Sept 2034 EUR Corporate Bond UCITS ETF 1D,Obligations,"0,12",EUR,Distribution,https://etf.dws.com/fr-fr/LU2809864619-target-maturity-sept-2034-eur-corporate-bond-ucits-etf-1d/
IE000472H9T4,Xtrackers Nasdaq 100 Swap UCITS ETF 1C,Actions,"0,18",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000472H9T4-nasdaq-100-swap-ucits-etf-1c/
IE000EXUE0G2,Xtrackers Nasdaq 100 Swap UCITS ETF 1D,Actions,"0,18",USD,Distribution,https://etf.dws.com/fr-fr/IE000EXUE0G2-nasdaq-100-swap-ucits-etf-1d/
LU2504532487,Xtrackers II Eurozone Government Green Bond UCITS ETF 1D,Obligations,"0,18",EUR,Distribution,https://etf.dws.com/fr-fr/LU2504532487-eurozone-government-green-bond-ucits-etf-1d/
IE000YDOORK7,Xtrackers MSCI Fintech Innovation UCITS ETF 1C,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000YDOORK7-msci-fintech-innovation-ucits-etf-1c/
IE000LOSV2D0,Xtrackers USA Biodiversity Focus SRI UCITS ETF 1C,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000LOSV2D0-usa-biodiversity-focus-sri-ucits-etf-1c/
IE00BYZNF849,Xtrackers Global Infrastructure ESG UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE00BYZNF849-global-infrastructure-esg-ucits-etf-1c/
IE0005E47AH7,"Xtrackers MSCI Global SDG 9 Industry, Innovation & Infrastructure UCITS ETF 1C",Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE0005E47AH7-msci-global-sdg-9-industry-innovation-infrastructure-ucits-etf-1c/
IE000UATQPE2,Xtrackers MSCI World Small Cap ESG UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000UATQPE2-msci-world-small-cap-esg-ucits-etf-1c/
IE000VMAR5O6,Xtrackers Europe Biodiversity Focus SRI UCITS ETF 1C,Actions,"0,30",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000VMAR5O6-europe-biodiversity-focus-sri-ucits-etf-1c/
IE000Y6L6LE6,Xtrackers EMU Net Zero Pathway Paris Aligned UCITS ETF 1C,Actions,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000Y6L6LE6-emu-net-zero-pathway-paris-aligned-ucits-etf-1c/
IE000KD0BZ68,Xtrackers MSCI Genomic Healthcare Innovation UCITS ETF 1C,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000KD0BZ68-msci-genomic-healthcare-innovation-ucits-etf-1c/
LU0484969463,Xtrackers II Target Maturity Sept 2029 Italy and Spain Government Bond UCITS ETF 1C,Obligations,"0,12",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU0484969463-target-maturity-sept-2029-italy-and-spain-government-bond-ucits-etf-1c/
DE000A2UDH63,Xtrackers IE Physical Platinum EUR Hedged ETC Securities,Métaux précieux,"0,73",EUR,--,https://etf.dws.com/fr-fr/etc/DE000A2UDH63-xtrackers-ie-physical-platinum-eur-hedged-etc-securities/
IE000X4A4GV2,Xtrackers Global Equity Top Active UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000X4A4GV2-global-equity-top-active-ucits-etf-1c/
IE000V04SL39,Xtrackers MSCI USA High Dividend Yield ESG UCITS ETF 1D,Actions,"0,25",USD,Distribution,https://etf.dws.com/fr-fr/IE000V04SL39-msci-usa-high-dividend-yield-esg-ucits-etf-1d/
LU0328473581,Xtrackers FTSE 100 Short Daily Swap UCITS ETF 1C,Actions,"0,50",GBP,Capitalisation,https://etf.dws.com/fr-fr/LU0328473581-ftse-100-short-daily-swap-ucits-etf-1c/
IE000GYDNJS5,Xtrackers MSCI USA Climate Transition UCITS ETF 1D,Actions,"0,09",USD,Distribution,https://etf.dws.com/fr-fr/IE000GYDNJS5-msci-usa-climate-transition-ucits-etf-1d/
IE00BNKF6C99,Xtrackers Stoxx European Market Leaders UCITS ETF 1C,Actions,"0,25",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE00BNKF6C99-stoxx-european-market-leaders-ucits-etf-1c/
IE000M8F3JA6,Xtrackers Global Growth Leaders Active UCITS ETF 1C,Actions,"0,50",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000M8F3JA6-global-growth-leaders-active-ucits-etf-1c/
IE000SRQBBT6,Xtrackers S&P 500 Defensive Shareholder Yield UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000SRQBBT6-s-p-500-defensive-shareholder-yield-ucits-etf-1c/
IE000ER61U30,Xtrackers MSCI Europe Small Cap ESG UCITS ETF 1C,Actions,"0,25",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE000ER61U30-msci-europe-small-cap-esg-ucits-etf-1c/
IE000Y6ZXZ48,Xtrackers MSCI Global Circular Economy UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000Y6ZXZ48-msci-global-circular-economy-ucits-etf-1c/
IE0007WJ6B10,Xtrackers MSCI Global Clean Water & Sanitation UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE0007WJ6B10-msci-global-clean-water-sanitation-ucits-etf-1c/
IE0001JH5CB4,Xtrackers Europe Net Zero Pathway Paris Aligned UCITS ETF 1C,Actions,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/IE0001JH5CB4-europe-net-zero-pathway-paris-aligned-ucits-etf-1c/
LU3152892629,Xtrackers II Target Maturity Sept 2036 EUR Corporate Bond UCITS ETF 1D,Obligations,"0,12",EUR,Distribution,https://etf.dws.com/fr-fr/LU3152892629-target-maturity-sept-2036-eur-corporate-bond-ucits-etf-1d/
IE000PSF3A70,Xtrackers MSCI Global SDGs UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000PSF3A70-msci-global-sdgs-ucits-etf-1c/
LU2662649503,Xtrackers II US Treasuries 3-7 UCITS ETF 1D,Obligations,"0,06",USD,Distribution,https://etf.dws.com/fr-fr/LU2662649503-us-treasuries-3-7-ucits-etf-1d/
LU3116008775,Xtrackers Diversified Portfolio 80% Equity UCITS ETF 1C,Multi-actifs,"0,24",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3116008775-diversified-portfolio-80-equity-ucits-etf-1c/
IE0006FFX5U1,Xtrackers MSCI Innovation UCITS ETF 1C,Actions,"0,30",USD,Capitalisation,https://etf.dws.com/fr-fr/IE0006FFX5U1-msci-innovation-ucits-etf-1c/
IE0001TLQX55,Xtrackers S&P 500 GARP UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE0001TLQX55-s-p-500-garp-ucits-etf-1c/
IE000V0GDVU7,Xtrackers MSCI Global SDG 11 Sustainable Cities UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000V0GDVU7-msci-global-sdg-11-sustainable-cities-ucits-etf-1c/
LU3116008692,Xtrackers Diversified Portfolio 60% Equity UCITS ETF 1C,Multi-actifs,"0,24",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3116008692-diversified-portfolio-60-equity-ucits-etf-1c/
IE000DVHJV46,Xtrackers S&P 500 Market Leaders UCITS ETF 1C,Actions,"0,25",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000DVHJV46-s-p-500-market-leaders-ucits-etf-1c/
IE0006FDYJF8,Xtrackers MSCI Japan Climate Transition UCITS ETF 1D,Actions,"0,15",USD,Distribution,https://etf.dws.com/fr-fr/IE0006FDYJF8-msci-japan-climate-transition-ucits-etf-1d/
LU2662649412,Xtrackers II US Treasuries 10+ UCITS ETF 1D,Obligations,"0,06",USD,Distribution,https://etf.dws.com/fr-fr/LU2662649412-us-treasuries-10-ucits-etf-1d/
IE00BDB7J586,Xtrackers MSCI USA Minimum Volatility UCITS ETF 1D,Actions,"0,20",USD,Distribution,https://etf.dws.com/fr-fr/IE00BDB7J586-msci-usa-minimum-volatility-ucits-etf-1d/
LU3254343414,PostFinance Global Portfolio Xtrackers UCITS ETF 1C,Multi-actifs,"0,49",CHF,Capitalisation,https://etf.dws.com/fr-fr/LU3254343414-postfinance-global-portfolio-xtrackers-ucits-etf-1c/
IE000L2IS494,Xtrackers MSCI Global Social Fairness Contributors UCITS ETF 1C,Actions,"0,35",USD,Capitalisation,https://etf.dws.com/fr-fr/IE000L2IS494-msci-global-social-fairness-contributors-ucits-etf-1c/
LU3116008429,Xtrackers Diversified Portfolio 40% Equity UCITS ETF 1C,Multi-actifs,"0,24",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3116008429-diversified-portfolio-40-equity-ucits-etf-1c/
LU3119430067,Xtrackers II Eurozone Government Bond 1-3 ESG Tilted UCITS ETF 1C,Obligations,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3119430067-eurozone-government-bond-1-3-esg-tilted-ucits-etf-1c/
LU2662649685,Xtrackers II US Treasuries 7-10 UCITS ETF 1D,Obligations,"0,06",USD,Distribution,https://etf.dws.com/fr-fr/LU2662649685-us-treasuries-7-10-ucits-etf-1d/
LU3116008346,Xtrackers Diversified Portfolio 20% Equity UCITS ETF 1C,Multi-actifs,"0,24",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3116008346-diversified-portfolio-20-equity-ucits-etf-1c/
LU3119430141,Xtrackers II Eurozone Government Bond 3-5 ESG Tilted UCITS ETF 1C,Obligations,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3119430141-eurozone-government-bond-3-5-esg-tilted-ucits-etf-1c/
LU3119430224,Xtrackers II Eurozone Government Bond 5-7 ESG Tilted UCITS ETF 1C,Obligations,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3119430224-eurozone-government-bond-5-7-esg-tilted-ucits-etf-1c/
LU3119430497,Xtrackers II Eurozone Government Bond 7-10 ESG Tilted UCITS ETF 1C,Obligations,"0,15",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3119430497-eurozone-government-bond-7-10-esg-tilted-ucits-etf-1c/
LU3386643970,Scalable MSCI AC World Leveraged Daily Swap Xtrackers UCITS ETF 1C,Actions,"0,45",EUR,Capitalisation,https://etf.dws.com/fr-fr/LU3386643970-scalable-msci-ac-world-leveraged-daily-swap-xtrackers-ucits-etf-1c/
